0;940GZZLUQWY;Queensway Underground Station;51.510316;-0.187149;940GZZDLSTD;Stratford DLR Station;51.541763;-0.003279
1;940GZZLUSUH;Sudbury Hill Underground Station;51.556952;-0.336437;910GCLPHHS;Clapham High Street Rail Station;51.465484;-0.132518
2;940GZZLUTNG;Turnham Green Underground Station;51.495152;-0.254554;940GZZLUPYB;Putney Bridge Underground Station;51.468265;-0.208729
3;940GZZLULNB;London Bridge Underground Station;51.505725;-0.088867;940GZZLUBLR;Blackhorse Road Underground Station;51.586925;-0.041143
4;910GKLBRNHR;Kilburn High Road Rail Station;51.537283;-0.192235;940GZZLUECM;Ealing Common Underground Station;51.510145;-0.288265
5;910GNORWDJ;Norwood Junction Rail Station;51.39702;-0.075216;940GZZLUPNR;Pinner Underground Station;51.5929;-0.381164
6;940GZZLUMVL;Maida Vale Underground Station;51.529782;-0.185756;940GZZLUBSC;Barons Court Underground Station;51.490315;-0.213425
7;940GZZLUKEN;Kenton Underground Station;51.581763;-0.316911;910GEMRSPKH;Emerson Park Rail Station;51.568648;0.220128
8;940GZZLUMMT;Monument Underground Station;51.510705;-0.085964;940GZZDLSHA;Shadwell DLR Station;51.511697;-0.056637
9;940GZZDLLCA;London City Airport DLR Station;51.503419;0.048749;940GZZLUHPK;Holland Park Underground Station;51.507148;-0.205677
10;940GZZLUBKE;Barkingside Underground Station;51.585695;0.088596;940GZZLUEAE;Eastcote Underground Station;51.576504;-0.397376
11;940GZZLUDOH;Dollis Hill Underground Station;51.551961;-0.239066;940GZZDLWHM;West Ham DLR Station;51.527899;0.00449
12;940GZZLUGFD;Greenford Underground Station;51.54243;-0.346052;940GZZLUWYC;Wembley Central Underground Station;51.55231;-0.296852
13;940GZZLUOSY;Osterley Underground Station;51.481278;-0.352226;940GZZLUEBY;Ealing Broadway Underground Station;51.515022;-0.301457
14;940GZZLUBOS;Boston Manor Underground Station;51.495639;-0.324941;940GZZLUNEN;North Ealing Underground Station;51.51751;-0.288868
15;940GZZLUSSQ;Sloane Square Underground Station;51.492274;-0.156374;940GZZLUKBN;Kilburn Underground Station;51.546809;-0.204102
16;940GZZLULYN;Leyton Underground Station;51.556595;-0.005515;940GZZDLPDK;Pontoon Dock DLR Station;51.502216;0.032124
17;940GZZLUWYP;Wembley Park Underground Station;51.563204;-0.279261;940GZZDLSHA;Shadwell DLR Station;51.511697;-0.056637
18;940GZZDLSTL;Star Lane DLR Station;51.520791;0.004164;940GZZLUPLW;Plaistow Underground Station;51.531345;0.01746
19;940GZZLUNDN;Neasden Underground Station;51.553992;-0.249836;910GHGHI;Highbury & Islington Rail Station;51.546183;-0.103758
20;940GZZDLRVC;Royal Victoria DLR Station;51.50934;0.018505;910GEUSTON;London Euston Rail Station;51.528141;-0.133919
21;940GZZDLSIT;Stratford International DLR Station;51.545271;-0.00963;940GZZLUGPK;Green Park Underground Station;51.506951;-0.142783
22;940GZZLUFYR;Finchley Road Underground Station;51.54683;-0.179842;940GZZLUCWR;Canada Water Underground Station;51.497949;-0.049715
23;910GCLDNNRB;Caledonian Road & Barnsbury Rail Station;51.543046;-0.116724;910GWCROYDN;West Croydon Rail Station;51.378428;-0.102581
24;940GZZLUCHX;Charing Cross Underground Station;51.507415;-0.127273;940GZZLUDGY;Dagenham Heathway Underground Station;51.541644;0.147539
25;910GEUSTON;London Euston Rail Station;51.528141;-0.133919;940GZZLUSTM;Stanmore Underground Station;51.619838;-0.303267
26;940GZZLUBNK;Bank Underground Station;51.513424;-0.088948;940GZZLUSWF;South Woodford Underground Station;51.591913;0.027347
27;940GZZLUQWY;Queensway Underground Station;51.510316;-0.187149;940GZZLUSWC;Swiss Cottage Underground Station;51.543687;-0.174891
28;940GZZDLRVC;Royal Victoria DLR Station;51.50934;0.018505;940GZZLUCHX;Charing Cross Underground Station;51.507415;-0.127273
29;910GWHHRTLA;White Hart Lane Rail Station;51.605044;-0.070907;910GSTJMSST;St James Street (London) Rail Station;51.580987;-0.032911
30;940GZZLUSVS;Seven Sisters Underground Station;51.583336;-0.072577;940GZZLUSGN;Stepney Green Underground Station;51.521863;-0.046589
